Name	Type	Region	PKG direct link	File Size
Armored Core 3 Portable	PSP	US	http://zeusXXXXUP0506/NPUH10023_00/qsiula27j8iBNig71nLABmt6YVigXh2BGxQBboTOkIOGs7TfYj4N7Y6g3DdT07sQ4YhV6MeAKredKNgMU4DhogiE2nDtIadvlKxQI.pkg	323
Armored Core: Last Raven Portable	PSP	US	http://zeusXXXXUP0506/NPUH10024_00/BWsjwebOjYgmS3eVd37WjvCQiMcDd0NB4It0GtTLQvYTiBGM59ajkdaUUUXpVkehyc3t4BYesF8aOIvVO1Q5DsCjM95Xw4VIhCPxQ.pkg	804
Armored Core: Silent Line Portable	PSP	US	http://zeusXXXXUP0506/NPUH10025_00/16Ra8dL8VTc1KkFtLu7LI9UYcVuOEgAERk5EDmaXp14rQIbub3DskxBaDYEMqq6jn3fifqPMiA4XReTOFswqdq6XMtmVEr6XRu20E.pkg	331
Army of Two: The 40th Day	PSP	US	http://zeusXXXXUP0006/ULUS10472_00/2mjsvV3cWip6yIdQXT0t6VRkEH4rBY8Wf48pBTV2e69k967Mcb3MhdteIdL1mRwIngu6rQre1LRxn6wsxrQhnm3xWXEb7YMHIDGyo.pkg	644
Assassin's Creed: Bloodlines	PSP	US	http://zeusXXXXUP0001/NPUH10032_00/BcIxWdxWHh1k38AgsVVmF7gAChhgWpNgnVEjvsggM0l305t9AJPvii3vprDjhdqFoAehEifvpWSojpbehdgyaKfGWINdr8bo8wudc.pkg	558
Astro Boy: The Video Game	PSP	US	http://zeusXXXXUP0367/ULUS10454_00/bg2FHFyaIaAimtkQVP301XdVUTo3uqMpaKXyVcsMil9kjBn95tIVM9txycSei40gvVQNWfXmmjIS4bIj2I1jeeMdfgjpORiDuXJlJ.pkg	957
Auditorium	PSP	US	http://zeusXXXXUP1026/NPUH10069_00/MITaGihQvWFkHiXVIINEIFwEcEVtjJjZxwPCsYsvHbUzmWbbAgIjthLCkvWDopLYlgrhbApiElMfJpYGOuvwzyhZcBKjvDYyUsmmA.pkg	23
Batman: Arkham Asylum Ц The Road to Arkham Asylum Digital PSP Comic	PSP	US	http://zeusXXXXUP0776/NPUH90076_00/8g01HldLhJAQW1wh8bof8kVbLjyE7aqdLIEPa3nPE2bRicDw0LdGrS9vA07epxQrWjBKIkRWjFMN3S0vRgTRQ33nyKkGGthWojoU4.pkg	10
Beaterator	PSP	US	http://zeusXXXXUP1004/ULUS10405_00/Yh3sSFdttR4an3pUKAfubPHi5MxAGxoeDsyh5I4y65vpcpLiHQsxNjx38Qn5wR4dJaDT02LewXNQIYvrCuLbvMaj9nQbnj0xnFQv8.pkg	664
Beats	PSP	US	http://zeusXXXXUP9000/NPUG80060_00/iB7Lsr2MToIrm5ge1r7UWylPCHjKu7FytGomoaiDb58eIeY3PKg9bsu4JtXog5409gvJUgAuenPkC90MJVtiG6a4OVIl4BOypq8oK.pkg	238
Bejeweled 2	PSP	US	http://zeusXXXXUP0017/NPUG30038_00/o9PKc89Jn6fVwAimAqvNUf8jPK6LbOYF9dGPCl4sY87JqgdCimj6T5x9GnA63nORfhOJ6aYaR2L3HKCWPTmhEUkcfxlCg6RRxMunJ.pkg	57
Ben 10 Alien Force	PSP	US	http://zeusXXXXUP0367/ULUS10387_00/vELAv0tgyrAghl3vrTPhB46BNHCvTVVIIm9IhLdn0TWeOCRmKgIMGKbsGY3pn8eWTxLNmkpQ79Km2LkgRORHUffeEy6XhlalLemsG.pkg	707
Ben 10 Alien Force: Vilgax Attacks	PSP	US	http://zeusXXXXUP0367/ULUS10488_00/ruBsj2HRYYSgiQLrCVN8rH4bhViN5MKYaAYlWB56Ux5xFXyxgFyALcpgIcFATj6yGaD7biqTj7g3meFRMUcqfUCrAglBaKTNsl38V.pkg	773
Ben 10 Protector of Earth	PSP	US	http://zeusXXXXUP0367/ULUS10307_00/B8uC5M8qHIi80MJYcFm9nxCm9vM1GDLDY9YWUWcaJWA4NQwJTHOdLYjuj5ROmMOoa52NNvFv8lYW64WuYC31VEcaOL76W2FEGDMAy.pkg	577
Ben 10 Ultimate Alien: Cosmic Destruction	PSP	US	http://zeusXXXXUP0367/NPUH10075_00/wNRDCpQ106meLCqXPwwTthFMYDNpYRrH5HKSAcTw1HFIVvhAJxump7kAq4m2Owg7FI8jG1RarQ0vY9nEIXVkONORQhAUxlBEmbXKi.pkg	676
Beta Bloc	PSP	US	http://zeusXXXXUP0367/NPUH10029_00/uRbR5jGT8yVTH8sLe6DL3033c9vaK7sddpHHln4diXTlxgdYyhqeH0wQb8lxwWuLoXx2Qf1r7RVvmeEnQaRKnjaFNwQSjvt8sAgul.pkg	29
Black Rock Shooter: The Game	PSP	US	http://zeusXXXXUP1063/NPUH10126_00/XWXQQmtSXujvUaYQEYmexslHHoPeFKyafaqSzBtVWwvTGldestfqrWgfWGmtzcwp.pkg	1051
Blade Dancer: Lineage of Light	PSP	US	http://zeusXXXXUP1063/ULUS10124_00/gjBKkKUTwdbBTH746DDYhjRvBMY7iHDe0bcdYOVQdHjMbWeN9ImXa5yQi6Pf26e7GYHoDJR9HbQRSVfcJhPKUUHRiyFYCrf7Xtdc5.pkg	338
BlazBlue: Calamity Trigger Portable	PSP	US	http://zeusXXXXUP1024/ULUS10519_00/idqPUJglsV9buphPtRIpVH5N2vV0CVvbx8xUfC3mNNWl1RXv7H6Ti9bHGWMWvgJmISsqr13oenKX2Rc1Q3PYH1m9UfKFvRbJXjGc4.pkg	879
BlazBlue: Continuum Shift II	PSP	US	http://zeusXXXXUP1024/ULUS10579_00/SPKGkXgjtSSKYqjDyouBFLSHrJBVWLMzyiPcwZGkKcddwzmuIQfbFJQvkirVmSeSSCiObTXCkYmEARjtWJBMFFHFRvsuxPOjESqrn.pkg	1254
Blazing Souls Accelate	PSP	US	http://zeusXXXXUP1024/ULUS10527_00/rnnCAHoNOCiviEo3cqkS7cdHIDKwC6bd7HahSm8WUkm2botiP0Y3y4dpOrK6IhC25i4FfVhRCgkDgBpSJ3UvKA2tPl0kYqxT8UCoM.pkg	431
Bomberman Land	PSP	US	http://zeusXXXXUP0555/ULUS10319_00/KkHyfkbF0tKcejNgehwPEVAPMn7Mnd9mpa3yyrhxWbEvSemnGbT6PYIBaeFuWglPBcmBy3TCJGDmvfh3Lre5mBUNiHshToHQijFdk.pkg	305
Bomberman Legacy	PSP	US	http://zeusXXXXUP0555/ULUS10121_00/dXuofDAVT06nUUGfILqLCrc1AFQ46fELw8AUE8ufXj3UlHjJYNFV56thoRqiIeg7i7WdIM5snbWFnHitUaW9G623gGTiUwfiIgT8p.pkg	59
Bomberman Party Edition	PSP	US	http://zeusXXXXUP9000/NPUJ01189_00/HVtsGPmuN7l6P3oVkCRfdBFnfW44bu3RSqLeAHBqBhjhrlJ9wfidJvWgWD67vvSBad7kh0Uu8cGdtVLOu3jnMNo8xLy1gLMAbg5X7.pkg	259
Boxing(tm) (PSOne Classic)	PSP	US	http://zeusXXXXUP9000/NPUJ01309_00/mDCgMpHpzkXAXVWtwKrrkHynxxYoAuJtKHQggtJSzuuKXIaOwnuyWVbkUJzKdNSk.pkg	59
Brain Challenge	PSP	US	http://zeusXXXXUP2006/NPUH10006_00/MkAGob2oNbTsj13V0rA0BWm4U0SFcjKNvthI5MCXRPJ89B6INKjA6NqIn75b2lNRYxmDvtBVT3xTWl98GunUWxytLoHXqEI1eJk4j.pkg	48
Brandish: The Dark Revenant	PSP	US	http://zeusXXXXUP1023/NPUH10195_00/UP1023-NPUH10195_00-BRANDISHDARKREVN_bg_1_eacac80408568dc70a6e8b8c6d1d34f7a7c35257.pkg	246
Brave Story: New Traveler	PSP	US	http://zeusXXXXUP1023/ULUS10279_00/UIEBInmFoqHfiakUSTPxg5bURMlTKcNGKjqOsPfr74xbqaP4JSWIC9nNKBNP7TrEX5oPn9DYwjV4Lvb7Vb5Pwt1INUyVl7aVWfJM5.pkg	147
Brothers in Arms: D-Day	PSP	US	http://zeusXXXXUP0001/ULUS10193_00/6isqTp2DbPyEjW4CXujb52uqKTOjJNdmYh0UK5NIEEurcgIpDkfxItldiClNx734iSdmooarVd0H0jgD1BPeWac4QF9BaewhMWNY5.pkg	1073
Brunswick Pro Bowling	PSP	US	http://zeusXXXXUP1039/ULUS10283_00/bje9DibnTtvjpLuBAN8uT2hGMvYHPhvkBty6hEUbn5lsLydD7G3tNlrlWQgqlUrgkdoBoL1TO4AdYcp9LYcECcOVpuWpor0tmUc4U.pkg	104
Burnout Dominator	PSP	US	http://zeusXXXXUP0006/ULUS10236_00/5p7I94SxTee08MdI1YrCspYcRhBu4vNP64GFqn8UMkisXMx47NAqUcmNT10w3MrOfkOtInVh6FJT5ysnGfkhEJHaGg4bsOFh5rUNH.pkg	616
Burnout(tm) Legends	PSP	US	http://zeusXXXXUP0006/ULUS10025_00/55m5dw9rs5yjcnPS4qkJQtXwP0Km4UR7cgQORmxXsDvCT3jgcjJknGmQRiWgEr4m18D8FuuIMLP3NDnfctidXpeX4oF6KjvEcuQek.pkg	434
BUZZ! : Master Quiz	PSP	US	http://zeusXXXXUP9000/UCUS98729_00/OPGHQx3BFWA7qmlSxcn0pT0Ona9wbNGxM8kQ181TgYENrV1DHHUgXQeWsspq6ns4KmjuP5MTx9svRtoDv4RavVNHMUoCGybBGYwC7.pkg	435
BUZZ! Quiz World	PSP	US	http://zeusXXXXUP9000/NPUG80293_00/w1V3Xlq6B8Hl26feAsOGsWXLANk9LvCRxFbqYIFDjQwJM6ywNp6i5N2IGpiuoIXX9Cr6xxM68jLrQyFkGyc3lHCaxMUmQNOR6JemW.pkg	678
Cabela's African Safari	PSP	US	http://zeusXXXXUP0002/ULUS10175_00/GxD8WVVdnQ5dqjDMT6nsffCVELIOkOmJhIR9gPEjgT2G2leLByMVNt91BCuWDsGkTjk0kXEXCokJCtVKOkti1WXA5PoWeHCp9df3y.pkg	420
Cabela's Dangerous Hunts: Ultimate Challenge	PSP	US	http://zeusXXXXUP0002/ULUS10106_00/LPuU8lwsUaJKX8gWQf13cfnilrachWE9oDrRjOpfLtIsMSKIe3SFj8V2YIDr7IjX5WpNjx9ivaBKgutji0xXIr29IQMJvu33sjDGg.pkg	385
Cabela's North American Adventures	PSP	US	http://zeusXXXXUP0002/ULUS10533_00/atSt30aSiUW5VerdiRFfnGiHdktkiMrowMF1H9LpOxvmbxI9132VOOynHMGRpjYTt0ePKLfMX66mkTwiN11vNwQXAAasXcFvuQ1co.pkg	240
Call of Duty: Roads to Victory	PSP	US	http://zeusXXXXUP0002/ULUS10218_00/XPPpZKTlJWVBpJOnPAYOiGuZtKiuPHoEciNrqXXogWTyYCkcUwoBbJhzkdsDFkpN.pkg	462
Capcom Classics Collection Reloaded	PSP	US	http://zeusXXXXUP0102/ULUS10134_00/NAKlWBTl74QBbxIiubGmpGfKlY8FIReVESJEJ3nJlVT3FGMLB2BOiFHnAuBC5rHBw4rYPxP6VaPmYwXvyP0j8JMpkdW9YuihhhP2i.pkg	388
Capcom Classics Collection Remixed	PSP	US	http://zeusXXXXUP0102/ULUS10097_00/hihySrxoYrvyofh99Q92BTfjaTLSpdtEoc3stUxemXmGsi1d74QAONac8DXxUKHv3kxnREbkgL98oSnQYxuTNS6Ci37q8d94kaaRb.pkg	488
Capcom Puzzle World	PSP	US	http://zeusXXXXUP0102/ULUS10217_00/m0RRFkDfjwFUK2TihegiEVJfxEMVlMvx62CMI7NMovOayDLyxYC1coUES9mtqQBhTplqnp7LnQeHxRjwPeDDJiEa9HCvkxfMCdu3c.pkg	260
Carnage Heart EXA	PSP	US	http://zeusXXXXUP1014/NPUH10188_00/XpJfVvTycXuBHZHEDSFUHLYcHBnlnlGSVVdpqmmmNpfTxNvLKacFyhBIcFbKJifL.pkg	491
Cars 2: The Video Game PSP 	PSP	US	http://zeusXXXXUP9000/UCUS98766_00/RuEFzGPQKdZbBROmfPvhNcGylmTHcEWBBbqLOcPcXTBbIYZwqFFaOUJIhuWlDIXiNNIUzXbmrcbjVBXinJtcdgCDsVJebJEDvbXze.pkg	423
Castlevania: The Dracula X Chronicles	PSP	US	http://zeusXXXXUP0101/ULUS10277_00/krwJXshGt2M2obm7CqtwOa7C922CQuWWnyCDqeTRCgKpyxWkxeEg7ifjYjlgxKJDwKl4OvL6pFB0EyIdJkr8BJyxOYXXF29WWfrvW.pkg	715
chameleon	PSP	US	http://zeusXXXXUP2035/ULUS10267_00/5fpGJPCmFXs0Ivo5EkBL6fHFC5tGfLe6Y5oBoXbII5f1r002sYujYC8Bdneb92iFb0VY4cVGiGSybnSfFSo82xp3iSupDacIJ8c9n.pkg	26
Cho Aniki Zero	PSP	US	http://zeusXXXXUP1024/NPUH10031_00/lonuWE6fU0RFsq8vU2PxspJnHHTP0CQx1EE2GjeHeTDTaeJqUTwNrGeA8kUDTGYA63Sf073cxrxKRPs9wMQWwMNcnPXmXYBWKQA13.pkg	121
ClaDun x2	PSP	US	http://zeusXXXXUP1063/NPUH10114_00/hNURKcPiNRqIsCeEnplLYXkcCkObGsVRoVIUmohnxpQDSTycYUCJPtHyWwGHksSWHioHgoZqsZMsYkBUAvhLMWMCQEoPRWJZuifkT.pkg	327
ClaDun: This is an RPG	PSP	US	http://zeusXXXXUP1063/NPUH10072_00/vnBAEmMG27cX3ISr9PFs5PYqvjlFtU6cPMBYalGLc6LG4INQpsgllQ2VxwJ7mFnmm7VbYMtDpxFpxM9j1dHiL5ub7c7CxJ8NwC9Ic.pkg	184
Class of Heroes	PSP	US	http://zeusXXXXUP0005/ULUS10396_00/1Ysd4Hlgw7IUdDSeG6Qcg54b2NIi3LcNfVfpEj4OWcDYOkW4HqyQ68JB19EsyYrDS1KT70gkCPEKdVNnHBtcvaytJfba0tXp0Kns3.pkg	143
Class of Heroes 2 (v2)	PSP	US	http://zeusXXXXUP2039/NPUH10127_00/MOgVHKBTGyBZXYuYdVxRqQbQNOVBdIogJNItOEztCZZjDZXOxyIzYBwlWTNbFuntUnizuUviMzSLinzHJImNJtXAjLTkEYUbksHYn.pkg	264
Coded Arms	PSP	US	http://zeusXXXXUP0101/ULUS10019_00/0BnQTRalcQ8LQtfQ7pafd4SqErvw54nmuIpNCrv8baPfMGdPdKglyAWE6mWLCXEUbcC883w8IHYo8XWnH7iaV8ISpbdBFico2FJHE.pkg	95
Corpse Party	PSP	US	http://zeusXXXXUP1023/NPUH10117_00/oBcOXhwWXYibWKtCUJNbxNBcLoPGDwoCdiofrfVNwmwJOnfsRMikggvIOMKfEZAnYOOnhbDOjHDSbeMuxhEjeAuWMTqowiSQrcTmw.pkg	555
Corpse Party: Book of Shadows	PSP	US	http://zeusXXXXUP1023/NPUH10187_00/aLyUAtCqyUaYFeRTRYizyWeMIESteKgmskwpUEbaLHavsmfKANKJRXOvoxttTWdx.pkg	1112
Crash of the Titans	PSP	US	http://zeusXXXXUP0002/ULUS10304_00/Df1xbFbQSY2yvr7aMa5xWIfS8BOMkbQeoPPvaurjMVLhccLRyKR3Jbr0Oi1FI0qbfQqMJQi8kwX6GTRyE6XaKTEs79lSuALnuNAfR.pkg	734
Crash Tag Team Racing	PSP	US	http://zeusXXXXUP0002/ULUS10044_00/fQ4cCD6isYFc348YVT6Ev0BojhffAPkXVVqUKJ3XARGukia7q5Nl9iJEuDyGTRJuEOi6DWhYXcJ6DHPf50m1utYbtNNJJuTuTPgW7.pkg	1422
Crash: Mind Over Mutant	PSP	US	http://zeusXXXXUP0002/ULUS10377_00/4IUA0MAYEeALtfYdntxmhJC25pbbL3Hh6nlnWiEwAQGO7X4Skhym7AUHlXpcH4tlq8EqJhkLldqs3LIYWquxSRu13dqSYpPqnVt8q.pkg	1219
Crazy Taxi: Fare Wars	PSP	US	http://zeusXXXXUP0177/ULUS10273_00/vkat8nA144q5TN2jpE19eeDBgEAUydr5EEwppy8uCITTfGw48C5F001h13Qto49nclvAVrSFeWDxemTNeFipE2WoOyPnEu9O4QVDy.pkg	824
Creature Defense	PSP	US	http://zeusXXXXUP0555/NPUH10034_00/XJhnBcA1YIiENN8yIcoVCPb25H3GuISHeveCtDMy3xqPv9tUtR5fE2iBlxkmxISN14bt4DWJgpCp8mjfqhbK5HMBE2E0cyDl36nMR.pkg	33
Crimson Gem Saga	PSP	US	http://zeusXXXXUP0005/ULUS10400_00/1nyFWPCv3oVBOCXK3B4DpQD4xEVg7TWmiAfXB68ot4v1UU0ht46UlQO9NlpL2rA3fG8646lN1i57ONEkE33SQ3uwHQcwyoMiyTo5K.pkg	782
Crimson Room Reverse	PSP	US	http://zeusXXXXUP1022/NPUH10037_00/qGN5SVOsR12SWg1Vlg4xnOoh81ice8MVGH6lWfsdCfCbN0cvxOUsoGU8OrckSKFrwB5CivrqA0R5hueT5oO6n5ui8tq9ut0Rlkxdn.pkg	113
Crush(tm)	PSP	US	http://zeusXXXXUP0177/ULUS10238_00/ebrc0nxu9J7AklcdLg36SrhfLC59qdTn0WFxKsKWhUS0JpUahn44ScUivlPryVBq69h6T7vvouPM2l3GF5EmllUpFnrUPpa7d8581.pkg	546
CRYSTAL DEFENDERS	PSP	US	http://zeusXXXXUP0082/NPUH90048_00/yJKXdAjtUA0Buy5LTb4Af4xfpp7MYXVWvlE8lSjURqvvmX23YIXVpI6T3HaJlUW8lsR0FvWK2DfIaFvrUdlXGCmlgYC0aHhFHNhaF.pkg	11
Crystal Defenders	PSP	US	http://zeusXXXXUP0082/NPUH10026_00/rmtW0ymLyIXq7qijtSUKfJgunUcAfXRpTVdwhiBTIdCB9KsHQe1L7yfUUJ7rKHh022QU7TuKHdfb7VX1CVFxeuhPpygSEPSqP926N.pkg	12
Cube	PSP	US	http://zeusXXXXUP0367/ULUS10223_00/N9I3IxndGnDNQdJwq5Dq3dcjmrpUf9qqpfDHusbnsYYoSL0G9RsyvmsuMXNmKBqN02Onhd1rdFbQjWO1vUjRlYkpibRk6RoWhVyfN.pkg	230
Dante's Inferno	PSP	US	http://zeusXXXXUP0006/ULUS10469_00/SAK1tnQs61IfjQQYGkVjrDw75R9VK96AYABKneI4gsHTdoTvRQrN0XSeVqRpDhMJfTAN70HptwlVtAHpD32NmatjOmynY3OEJ6CIa.pkg	1437
Darkstalkers Chronicle: The Chaos Tower	PSP	US	http://zeusXXXXUP0102/ULUS10005_00/NHkw1q5v3VFXLJLJPPdk2RO9gbJ6JYQlwGpa3EFWTqOc9qWLiVRHuEAcqdIo91LqShNTCm97Lf72GMiU028ERQTN27N05O99WNdMI.pkg	657
Daxter	PSP	US	http://zeusXXXXUP9000/NPUG80329_00/AmdfuErB5XCQCMfLWuKQDVx8dTCgLljBaviwxqdyX4QmelKjbvLXohGbiSu1GcVDUt1081oVFc1WhSa7yHbcRcl8GSDacHeYBwQkF.pkg	1068
Dead Head Fred	PSP	US	http://zeusXXXXUP0367/ULUS10288_00/ttQgwKlEePgC134gXow9PhOi3CC8EjH9nx43uH6S3ei350gDqnsGbE1Lyh5aGBgNPOaNwU7EJKhxRxHoPYyMgChYWhOiHXcWtjMDl.pkg	803
Dead or Alive Paradise	PSP	US	http://zeusXXXXUP4108/ULUS10521_00/fu8v64gcobQM4wE8YtkGMHaNLcxNAuEGaLQGDtSnd5umU1kn2pefFx5DvFhVNSgI5ufgIVpQV8vIbsk4pStEgc5144QRYvWYwudBx.pkg	571
Death Jr.	PSP	US	http://zeusXXXXUP0101/ULUS10027_00/vLRgjT9ePAXfXU70AmDgjRdFJvSr7Ec7vlcNAP0EcqeNdMpwQ2KELR21q2u0BPYo1QASExtUBN4wRCw117C7AtfTG5rHc7LuCFduK.pkg	217
Death Jr. 2: Root of Evil	PSP	US	http://zeusXXXXUP0101/ULUS10157_00/vTBrw9VX0F7ugyB5Gb7Ax6eObfJhwvLXK2Dr1dEj0tFVevaRAotRxv43f9GmoLtAPe7jqExTSeJgk2uEbjmbWYbrsu43I1Ea9dno5.pkg	510
Def Jam Ц Fight For New York: The Takeover	PSP	US	http://zeusXXXXUP0006/ULUS10100_00/WUaqu3DNF1dDTUnoNH09Gxy1bFN9Ynb1n12LXFXDJwugj1E97n8kFRLSFguJYdWnf9qOEtEal66CtOgLVQ45V9TC0EX88FJ2L50sM.pkg	1462
Despicable Me: The Game	PSP	US	http://zeusXXXXUP0367/ULUS10534_00/bc6pg6Yw50Jn4STAYjtJ92QMoHbFL5PLCLmMCbFgEHAcE0p46jkiSmUD9qyrYC3iLyl2OjFbQnpmRBuRaHinp4qtu1MumW00XRDsL.pkg	323
DiRT 2	PSP	US	http://zeusXXXXUP4001/ULUS10471_00/0i5dQgubXR2r1KSDd0RX01RQJLeQFViG1CWr21656FdLTEV9QBur1sf7VtAyknsYYlJRHD6pmMfXhQ1evgEIS2oddCvSpFFOsxl9T.pkg	243
Disgaea 2: Dark Hero Days	PSP	US	http://zeusXXXXUP1063/ULUS10461_00/ojV6RpbPGdSUI0C1CtjKRXBisxsLLS9RhdaohMN2FMWgNSMHPjeunYSVi1svQCu9DXEnI8uWcMxfDT1JIXY3u1rS2nl2d0OVoXeu2.pkg	483
Disgaea Infinite	PSP	US	http://zeusXXXXUP1063/ULUS10522_00/86Mywvuvy9Mw6lmQpNjmeWm6eue8QlfyLkQo8w1y6MJgFqqEPL3Sj3MdBwF65ut6QxfACQVcHBa61Evt9hlmNP7F6o5yYcAu2Tnod.pkg	154
Disgaea: Afternoon of Darkness	PSP	US	http://zeusXXXXUP1063/ULUS10308_00/D3x3gmQcGvEh5iDyHToq8x3eglrTW3hQvIXXgJbX8SqEtkl3VBdkF4n4CWOor2atR8roLrLnb8oQWdnsrRyjstqB78H1jTYUIE9ek.pkg	889
Dissidia Duodecim (012) Final Fantasy	PSP	US	http://zeusXXXXUP0082/ULUS10566_00/YNApxAsGFBuzdySnBjKLqrlIZRpAbtcUhLQETaiHxknWaGbjJjOuSPVeMihltWcRnpIuZdZkVDbCLNLtNPthGLPbKCwfpUARxjpYr.pkg	1200
Dissidia Duodecim (012) Prologus Final Fantasy	PSP	US	http://zeusXXXXUP0082/NPUH10110_00/mEryjhThRVjrbPuJXRrlpxbAuBIcxsoGNUnKUahOIwIMSeXIlaBJxxwkYbOYwrUNwojtlArNgMkSsAIJdjvrpUxNdbczZUchFILik.pkg	241
Dissidia Final Fantasy	PSP	US	http://zeusXXXXUP0082/ULUS10437_00/4A4yg39jPbWW1vtDKSCwnpiwBFDGUEMvJfK2IJDX4eAo7ylV295GwwN8Ff9rKhXFAwN2qcDNjIDH6cxFAnmU1SrTc4RSUF0kKQICh.pkg	1250
DJMax Fever	PSP	US	http://zeusXXXXUP2011/NPUH10013_00/h5TokRTdxNh2qsYQM4OoO9UDpvbXtfFcEYlvglX8qluPKYXB4dTtdSDjFjjA60A53wHugoSd5HvsHJotkCVTDaOxeAB2P7kVGGFyO.pkg	1409
DJMax Portable 3	PSP	US	http://zeusXXXXUP2011/ULUS10538_00/dQMPlvtlazPyMyTfXMexwYfEFAOYSTsRygmYdjuHmIVsVoVhDonaKgRHQlplSXIAYiOjvubznvHnWYBaYlkMNvmzhfVKgQsKkLIfs.pkg	1520
Dragoneer's Aria	PSP	US	http://zeusXXXXUP1063/ULUS10291_00/ksXfYnMRoBt15MhCFAicPuEHvwT1LkSnO8jyoSJcwUh4wFgnAdVBKnQF0OlTt2i3wNq5g2XiNUxFiD5IWDt6YH6CHNBuBPM1QeQXq.pkg	249
Dragon's Lair	PSP	US	http://zeusXXXXUP2043/NPUH10105_00/tVAkKIRlyHwwuDHzwCcEQqeuIxtuykSHeUrRkkwmrEprOahUxqxcKjQuMzbeVbxcZkSlDTCJAmskbWhYzeESTMfFooigNfPGNdlpg.pkg	241
Driver '76	PSP	US	http://zeusXXXXUP0001/ULUS10235_00/QBKtYx4EQQ2fpmCrU7Nx6O4nARA3Xdlc99fov0QMuo8Pqgt3SpTfDTGAu9a20kiCO5MERfaOs31qcENbHXyQbwP4Nckpti2nvKg3I.pkg	637
Dungeon Explorer: Warriors of Ancient Arts	PSP	US	http://zeusXXXXUP0555/ULUS10289_00/I6Q5g1nybeaLgpFnGCvRwDgr6NfSJEIjgh7XstVtGVGKWACu6B3Ojeuuaorfc9F6Cot8ado3INHopX5TK3v3Moxej5dMOP1lo8n0U.pkg	323
